No,E,N,ndsm,ndvi,class6
1587,537147.953,5228953.163,6.83,-0.135135135,b
1588,537147.987,5228953.274,6.67,-0.089655172,b
1589,537142.891,5228953.745,6.84,-0.183673469,b
1590,537142.925,5228953.856,6.95,-0.194029851,b
1591,537142.96,5228953.967,7.02,-0.191919192,b
1592,537142.994,5228954.079,7.1,-0.203883495,b
1593,537143.028,5228954.19,7.2,-0.203883495,b
1594,537143.062,5228954.302,7.3,-0.221674877,b
1595,537143.097,5228954.413,7.4,-0.19,b
1596,537143.131,5228954.524,7.47,-0.18627451,b
1597,537143.165,5228954.636,7.49,-0.177664975,b
1598,537143.199,5228954.747,7.44,-0.1125,b
1599,537143.234,5228954.858,7.35,-0.144736842,b
1600,537143.268,5228954.97,7.22,-0.112582781,b
1601,537143.302,5228955.081,7.11,-0.137254902,b
1602,537143.336,5228955.192,7.03,-0.084507042,b
1603,537143.371,5228955.304,6.94,-0.12,b
1604,537143.405,5228955.415,6.82,-0.117241379,b
1605,537143.799,5228952.734,6.39,-0.177083333,b
1606,537143.439,5228955.526,6.68,-0.112676056,b
1607,537143.473,5228955.638,6.58,-0.117241379,b
1608,537143.508,5228955.749,6.5,-0.124183007,b
1609,537147.568,5228952.306,7.44,-0.208121827,b
1610,537143.833,5228952.845,6.49,-0.208333333,b
1611,537143.542,5228955.86,6.43,-0.108108108,b
1612,537147.602,5228952.417,7.5,-0.196078431,b
1613,537132.614,5228933.017,5.02,-0.23902439,b
1614,537132.648,5228933.128,4.99,-0.256038647,b
1615,537132.682,5228933.239,4.95,-0.253588517,b
1616,537132.169,5228931.569,5.56,-0.259615385,b
1617,537132.717,5228933.351,4.92,-0.25,b
1618,537132.203,5228931.68,5.53,-0.259615385,b
1619,537132.751,5228933.462,4.87,-0.25,b
1620,537132.237,5228931.792,5.47,-0.252427184,b
1621,537132.785,5228933.573,4.84,-0.259615385,b
1622,537132.271,5228931.903,5.41,-0.256038647,b
1623,537132.819,5228933.685,4.82,-0.258536585,b
1624,537132.306,5228932.015,5.35,-0.256038647,b
1625,537132.854,5228933.796,4.79,-0.240384615,b
1626,537132.34,5228932.126,5.33,-0.260663507,b
1627,537132.888,5228933.907,4.74,-0.25,b
1628,537132.374,5228932.237,5.3,-0.25,b
1629,537132.408,5228932.349,5.29,-0.253588517,b
1630,537132.443,5228932.46,5.26,-0.263157895,b
1631,537132.477,5228932.571,5.2,-0.257142857,b
1632,537132.511,5228932.683,5.14,-0.253588517,b
1633,537132.545,5228932.794,5.1,-0.252427184,b
1634,537132.58,5228932.905,5.07,-0.257142857,b
1635,537132.503,5228933.051,5.03,-0.268292683,b
1636,537132.537,5228933.162,5.01,-0.254716981,b
1637,537132.571,5228933.274,4.98,-0.263157895,b
1638,537132.605,5228933.385,4.95,-0.258536585,b
1639,537132.64,5228933.496,4.91,-0.261083744,b
1640,537132.057,5228931.603,5.55,-0.247619048,b
1641,537132.674,5228933.608,4.87,-0.275362319,b
1642,537132.092,5228931.715,5.52,-0.263157895,b
1643,537132.708,5228933.719,4.82,-0.25,b
1644,537132.126,5228931.826,5.48,-0.252427184,b
1645,537132.742,5228933.83,4.77,-0.245283019,b
1646,537132.16,5228931.937,5.43,-0.248780488,b
1647,537132.777,5228933.942,4.74,-0.246376812,b
1648,537132.194,5228932.049,5.37,-0.256038647,b
1649,537132.229,5228932.16,5.32,-0.246376812,b
1650,537132.263,5228932.271,5.29,-0.25,b
1651,537132.297,5228932.383,5.27,-0.259615385,b
1652,537132.331,5228932.494,5.24,-0.244019139,b
1653,537132.366,5228932.606,5.2,-0.253588517,b
1654,537132.4,5228932.717,5.16,-0.240384615,b
1655,537132.434,5228932.828,5.12,-0.256038647,b
1656,537132.468,5228932.94,5.09,-0.253588517,b
1657,537132.391,5228933.085,5.06,-0.244019139,b
1658,537132.426,5228933.197,5.05,-0.256038647,b
1659,537132.46,5228933.308,5.02,-0.236714976,b
1660,537132.494,5228933.419,4.98,-0.246376812,b
1661,537132.528,5228933.531,4.93,-0.256038647,b
1662,537132.563,5228933.642,4.9,-0.253588517,b
1663,537132.597,5228933.753,4.86,-0.256038647,b
1664,537132.631,5228933.865,4.82,-0.25,b
1665,537131.946,5228931.638,5.54,-0.248780488,b
1666,537131.98,5228931.749,5.51,-0.256038647,b
1667,537132.014,5228931.86,5.48,-0.264705882,b
1668,537132.049,5228931.972,5.44,-0.256038647,b
1669,537132.083,5228932.083,5.39,-0.253588517,b
1670,537132.117,5228932.194,5.36,-0.253588517,b
1671,537132.151,5228932.306,5.32,-0.238095238,b
1672,537132.186,5228932.417,5.29,-0.247619048,b
1673,537132.22,5228932.528,5.24,-0.252427184,b
1674,537132.254,5228932.64,5.19,-0.256038647,b
1675,537132.289,5228932.751,5.15,-0.256038647,b
1676,537132.323,5228932.862,5.12,-0.247619048,b
1677,537132.357,5228932.974,5.11,-0.259615385,b
1678,537132.28,5228933.119,5.06,-0.251184834,b
1679,537132.314,5228933.231,5.04,-0.263157895,b
1680,537132.348,5228933.342,5.01,-0.253588517,b
1681,537132.383,5228933.453,4.99,-0.253588517,b
1682,537132.417,5228933.565,4.96,-0.246376812,b
1683,537132.451,5228933.676,4.92,-0.240384615,b
1684,537132.485,5228933.788,4.87,-0.25,b
1685,537132.52,5228933.899,4.81,-0.247619048,b
1686,537131.8,5228931.561,5.57,-0.242718447,b
1687,537131.835,5228931.672,5.56,-0.252427184,b
1688,537131.869,5228931.783,5.53,-0.252427184,b
1689,537131.903,5228931.895,5.49,-0.256038647,b
1690,537131.937,5228932.006,5.44,-0.265700483,b
1691,537131.972,5228932.117,5.39,-0.242718447,b
1692,537132.006,5228932.229,5.35,-0.254901961,b
1693,537132.04,5228932.34,5.33,-0.252427184,b
1694,537132.074,5228932.451,5.31,-0.257142857,b
1695,537132.109,5228932.563,5.28,-0.25,b
1696,537132.143,5228932.674,5.24,-0.254716981,b
1697,537132.177,5228932.785,5.2,-0.240384615,b
1698,537132.211,5228932.897,5.14,-0.247619048,b
1699,537132.246,5228933.008,5.11,-0.278846154,b
1700,537132.169,5228933.154,5.06,-0.257142857,b
1701,537132.203,5228933.265,5.03,-0.247619048,b
1702,537132.237,5228933.376,5,-0.259615385,b
1703,537132.271,5228933.488,4.98,-0.256038647,b
1704,537132.306,5228933.599,4.95,-0.256038647,b
1705,537132.34,5228933.71,4.92,-0.256038647,b
1706,537132.374,5228933.822,4.88,-0.251184834,b
1707,537132.408,5228933.933,4.83,-0.252427184,b
1708,537131.689,5228931.595,5.59,-0.256038647,b
1709,537131.723,5228931.706,5.57,-0.269230769,b
1710,537131.758,5228931.818,5.53,-0.259615385,b
1711,537131.792,5228931.929,5.48,-0.257142857,b
1712,537131.826,5228932.04,5.43,-0.27184466,b
1713,537131.86,5228932.152,5.39,-0.256038647,b
1714,537131.895,5228932.263,5.36,-0.272727273,b
1715,537131.929,5228932.374,5.34,-0.257142857,b
1716,537131.963,5228932.486,5.32,-0.256038647,b
1717,537131.997,5228932.597,5.29,-0.25,b
1718,537132.032,5228932.708,5.24,-0.260663507,b
1719,537132.057,5228933.188,5.05,-0.248780488,b
1720,537132.066,5228932.82,5.19,-0.246376812,b
1721,537132.091,5228933.299,5.02,-0.248780488,b
1722,537132.1,5228932.931,5.15,-0.253588517,b
1723,537132.126,5228933.411,4.99,-0.254716981,b
1724,537132.134,5228933.042,5.12,-0.23943662,b
1725,537132.16,5228933.522,4.98,-0.257142857,b
1726,537132.194,5228933.633,4.96,-0.263157895,b
1727,537132.228,5228933.745,4.94,-0.25,b
1728,537132.263,5228933.856,4.91,-0.257142857,b
1729,537132.297,5228933.967,4.86,-0.244019139,b
1730,537131.578,5228931.629,5.58,-0.263157895,b
1731,537131.612,5228931.74,5.56,-0.25,b
1732,537131.646,5228931.852,5.54,-0.263157895,b
1733,537131.68,5228931.963,5.51,-0.246376812,b
1734,537131.715,5228932.074,5.48,-0.25,b
1735,537131.749,5228932.186,5.44,-0.259615385,b
1736,537131.946,5228933.222,5.11,-0.253588517,b
1737,537131.783,5228932.297,5.4,-0.244019139,b
1738,537131.98,5228933.334,5.08,-0.260663507,b
1739,537131.817,5228932.408,5.37,-0.263157895,b
1740,537132.014,5228933.445,5.04,-0.260663507,b
1741,537131.852,5228932.52,5.35,-0.253588517,b
1742,537132.049,5228933.556,5,-0.253588517,b
1743,537131.886,5228932.631,5.31,-0.256038647,b
1744,537132.083,5228933.668,4.97,-0.259615385,b
1745,537131.92,5228932.743,5.27,-0.257142857,b
1746,537132.117,5228933.779,4.94,-0.25,b
1747,537131.954,5228932.854,5.22,-0.269230769,b
1748,537132.151,5228933.89,4.9,-0.253588517,b
1749,537131.989,5228932.965,5.17,-0.241706161,b
1750,537132.023,5228933.077,5.12,-0.246376812,b
1751,537131.466,5228931.663,5.59,-0.257142857,b
1752,537131.835,5228933.256,5.11,-0.247619048,b
1753,537131.501,5228931.775,5.56,-0.257142857,b
1754,537131.869,5228933.368,5.05,-0.253588517,b
1755,537131.535,5228931.886,5.52,-0.262135922,b
1756,537131.903,5228933.479,5.01,-0.256038647,b
1757,537131.569,5228931.997,5.49,-0.25,b
1758,537131.937,5228933.59,4.98,-0.245283019,b
1759,537131.603,5228932.109,5.46,-0.247619048,b
1760,537131.972,5228933.702,4.97,-0.253588517,b
1761,537131.638,5228932.22,5.43,-0.246376812,b
1762,537132.006,5228933.813,4.94,-0.244019139,b
1763,537131.672,5228932.331,5.4,-0.248780488,b
1764,537132.04,5228933.925,4.91,-0.257142857,b
1765,537131.706,5228932.443,5.37,-0.246376812,b
1766,537131.74,5228932.554,5.35,-0.256038647,b
1767,537131.775,5228932.665,5.32,-0.244019139,b
1768,537131.809,5228932.777,5.29,-0.252427184,b
1769,537131.843,5228932.888,5.24,-0.259615385,b
1770,537131.877,5228932.999,5.2,-0.251184834,b
1771,537131.912,5228933.111,5.16,-0.251184834,b
1772,537131.723,5228933.291,5.13,-0.256038647,b
1773,537131.757,5228933.402,5.07,-0.253588517,b
1774,537131.792,5228933.513,5.03,-0.253588517,b
1775,537131.826,5228933.625,5,-0.269230769,b
1776,537131.86,5228933.736,4.98,-0.256038647,b
1777,537131.355,5228931.698,5.58,-0.25,b
1778,537131.894,5228933.847,4.95,-0.247619048,b
1779,537131.389,5228931.809,5.56,-0.265700483,b
1780,537131.929,5228933.959,4.92,-0.251184834,b
1781,537131.423,5228931.92,5.54,-0.256038647,b
1782,537131.458,5228932.032,5.51,-0.246376812,b
1783,537131.492,5228932.143,5.47,-0.256038647,b
1784,537131.526,5228932.254,5.43,-0.256038647,b
1785,537131.56,5228932.366,5.39,-0.259615385,b
1786,537131.595,5228932.477,5.36,-0.263157895,b
1787,537131.629,5228932.588,5.34,-0.263157895,b
1788,537131.663,5228932.7,5.32,-0.244019139,b
1789,537131.698,5228932.811,5.3,-0.244019139,b
1790,537131.732,5228932.922,5.27,-0.259615385,b
1791,537131.766,5228933.034,5.24,-0.256038647,b
1792,537131.8,5228933.145,5.21,-0.247619048,b
1793,537131.612,5228933.325,5.1,-0.253588517,b
1794,537131.646,5228933.436,5.04,-0.253588517,b
1795,537131.68,5228933.548,5.01,-0.259615385,b
1796,537131.715,5228933.659,4.99,-0.25,b
1797,537131.749,5228933.77,4.97,-0.244019139,b
1798,537131.783,5228933.882,4.95,-0.253588517,b
1799,537131.209,5228931.62,5.62,-0.244019139,b
1800,537131.244,5228931.732,5.59,-0.263157895,b
1801,537131.278,5228931.843,5.56,-0.244019139,b
1802,537131.312,5228931.955,5.53,-0.25,b
1803,537131.346,5228932.066,5.5,-0.256038647,b
1804,537131.381,5228932.177,5.46,-0.265700483,b
1805,537131.415,5228932.289,5.42,-0.253588517,b
1806,537131.449,5228932.4,5.39,-0.259615385,b
1807,537131.483,5228932.511,5.37,-0.247619048,b
1808,537131.518,5228932.623,5.35,-0.246376812,b
1809,537131.552,5228932.734,5.33,-0.257142857,b
1810,537131.586,5228932.845,5.3,-0.260663507,b
1811,537131.62,5228932.957,5.27,-0.259615385,b
1812,537131.655,5228933.068,5.24,-0.244019139,b
1813,537131.689,5228933.179,5.2,-0.253588517,b
1814,537131.535,5228933.471,5.03,-0.275362319,b
1815,537131.569,5228933.582,5,-0.248780488,b
1816,537131.603,5228933.693,4.97,-0.259615385,b
1817,537131.638,5228933.805,4.95,-0.260663507,b
1818,537131.672,5228933.916,4.92,-0.254716981,b
1819,537131.098,5228931.655,5.63,-0.244019139,b
1820,537131.132,5228931.766,5.61,-0.252427184,b
1821,537131.167,5228931.877,5.58,-0.253588517,b
1822,537131.201,5228931.989,5.55,-0.25,b
1823,537131.235,5228932.1,5.51,-0.252427184,b
1824,537131.269,5228932.211,5.48,-0.241706161,b
1825,537131.304,5228932.323,5.44,-0.265700483,b
1826,537131.338,5228932.434,5.4,-0.248780488,b
1827,537131.372,5228932.546,5.37,-0.253588517,b
1828,537131.406,5228932.657,5.33,-0.257142857,b
1829,537131.441,5228932.768,5.3,-0.253588517,b
1830,537131.475,5228932.88,5.27,-0.253588517,b
1831,537131.509,5228932.991,5.24,-0.244019139,b
1832,537131.543,5228933.102,5.19,-0.257142857,b
1833,537131.578,5228933.214,5.16,-0.260663507,b
1834,537131.389,5228933.393,5.07,-0.251184834,b
1835,537131.423,5228933.505,5.02,-0.260663507,b
1836,537131.458,5228933.616,5,-0.257142857,b
1837,537131.492,5228933.728,4.97,-0.251184834,b
1838,537131.526,5228933.839,4.96,-0.253588517,b
1839,537131.56,5228933.95,4.95,-0.253588517,b
1840,537130.987,5228931.689,5.66,-0.262135922,b
1841,537131.021,5228931.8,5.63,-0.248780488,b
1842,537131.055,5228931.912,5.6,-0.262135922,b
1843,537131.089,5228932.023,5.55,-0.25,b
1844,537131.124,5228932.134,5.49,-0.251231527,b
1845,537131.158,5228932.246,5.45,-0.252427184,b
1846,537131.192,5228932.357,5.42,-0.248780488,b
1847,537131.226,5228932.468,5.39,-0.25,b
1848,537131.261,5228932.58,5.36,-0.25,b
1849,537131.295,5228932.691,5.32,-0.247619048,b
1850,537131.329,5228932.802,5.28,-0.254716981,b
1851,537131.363,5228932.914,5.22,-0.246376812,b
1852,537131.398,5228933.025,5.17,-0.251184834,b
1853,537131.432,5228933.137,5.13,-0.257142857,b
1854,537131.466,5228933.248,5.1,-0.260663507,b
1855,537131.278,5228933.428,5.11,-0.25,b
1856,537131.312,5228933.539,5.09,-0.259615385,b
1857,537131.346,5228933.65,5.05,-0.257142857,b
1858,537131.381,5228933.762,5.01,-0.259615385,b
1859,537131.415,5228933.873,4.99,-0.25,b
1860,537131.449,5228933.984,4.97,-0.246376812,b
1861,537130.875,5228931.723,5.64,-0.259615385,b
1862,537130.91,5228931.835,5.61,-0.244019139,b
1863,537130.944,5228931.946,5.57,-0.262135922,b
1864,537130.978,5228932.057,5.54,-0.272727273,b
1865,537131.012,5228932.169,5.5,-0.257142857,b
1866,537131.047,5228932.28,5.46,-0.256038647,b
1867,537131.081,5228932.391,5.41,-0.256038647,b
1868,537131.115,5228932.503,5.37,-0.253588517,b
1869,537131.149,5228932.614,5.34,-0.259615385,b
1870,537131.184,5228932.725,5.31,-0.252427184,b
1871,537131.218,5228932.837,5.28,-0.259615385,b
1872,537131.252,5228932.948,5.23,-0.25,b
1873,537131.286,5228933.059,5.18,-0.251184834,b
1874,537131.321,5228933.171,5.12,-0.253588517,b
1875,537131.355,5228933.282,5.08,-0.251184834,b
1876,537131.166,5228933.462,5.12,-0.253588517,b
1877,537131.201,5228933.573,5.08,-0.259615385,b
1878,537131.235,5228933.685,5.04,-0.25,b
1879,537131.269,5228933.796,5.01,-0.25,b
1880,537131.303,5228933.907,4.98,-0.253588517,b
1881,537130.764,5228931.758,5.64,-0.256038647,b
1882,537130.798,5228931.869,5.61,-0.262135922,b
1883,537130.832,5228931.98,5.58,-0.256038647,b
1884,537130.867,5228932.092,5.55,-0.259615385,b
1885,537130.901,5228932.203,5.5,-0.262135922,b
1886,537130.935,5228932.314,5.46,-0.252427184,b
1887,537130.969,5228932.426,5.42,-0.242718447,b
1888,537131.004,5228932.537,5.39,-0.268292683,b
1889,537131.038,5228932.648,5.36,-0.244019139,b
1890,537131.072,5228932.76,5.33,-0.266666667,b
1891,537131.107,5228932.871,5.29,-0.260663507,b
1892,537131.141,5228932.982,5.23,-0.25,b
1893,537131.175,5228933.094,5.18,-0.259615385,b
1894,537131.209,5228933.205,5.15,-0.256038647,b
1895,537131.244,5228933.316,5.14,-0.260663507,b
1896,537131.055,5228933.496,5.12,-0.246376812,b
1897,537131.089,5228933.608,5.08,-0.254716981,b
1898,537131.124,5228933.719,5.04,-0.265700483,b
1899,537131.158,5228933.83,5,-0.257142857,b
1900,537131.192,5228933.942,4.96,-0.247619048,b
1901,537130.618,5228931.68,5.65,-0.258536585,b
1902,537130.653,5228931.792,5.62,-0.253588517,b
1903,537130.687,5228931.903,5.6,-0.25,b
1904,537130.721,5228932.014,5.58,-0.259615385,b
1905,537130.755,5228932.126,5.56,-0.25,b
1906,537130.79,5228932.237,5.53,-0.252427184,b
1907,537130.824,5228932.349,5.5,-0.246376812,b
1908,537130.858,5228932.46,5.44,-0.263157895,b
1909,537130.892,5228932.571,5.39,-0.25,b
1910,537130.927,5228932.683,5.36,-0.252427184,b
1911,537130.961,5228932.794,5.32,-0.256038647,b
1912,537130.995,5228932.905,5.29,-0.25,b
1913,537131.029,5228933.017,5.25,-0.252427184,b
1914,537131.064,5228933.128,5.21,-0.248826291,b
1915,537131.098,5228933.239,5.18,-0.251184834,b
1916,537131.132,5228933.351,5.16,-0.257142857,b
1917,537130.944,5228933.53,5.14,-0.257142857,b
1918,537130.978,5228933.642,5.1,-0.253588517,b
1919,537131.012,5228933.753,5.07,-0.265700483,b
1920,537131.047,5228933.865,5.04,-0.247619048,b
1921,537131.081,5228933.976,5.02,-0.256038647,b
1922,537130.507,5228931.715,5.64,-0.252427184,b
1923,537130.541,5228931.826,5.61,-0.246376812,b
1924,537130.576,5228931.937,5.6,-0.261083744,b
1925,537130.61,5228932.049,5.59,-0.253588517,b
1926,537130.644,5228932.16,5.57,-0.25,b
1927,537130.678,5228932.271,5.55,-0.252336449,b
1928,537130.713,5228932.383,5.51,-0.253588517,b
1929,537130.747,5228932.494,5.45,-0.244019139,b
1930,537130.781,5228932.605,5.4,-0.25,b
1931,537130.815,5228932.717,5.36,-0.256038647,b
1932,537130.85,5228932.828,5.32,-0.256038647,b
1933,537130.884,5228932.94,5.29,-0.256038647,b
1934,537130.918,5228933.051,5.25,-0.259615385,b
1935,537130.952,5228933.162,5.22,-0.263157895,b
1936,537130.987,5228933.274,5.19,-0.247619048,b
1937,537131.021,5228933.385,5.16,-0.240384615,b
1938,537130.832,5228933.565,5.14,-0.257142857,b
1939,537130.867,5228933.676,5.12,-0.262135922,b
1940,537130.901,5228933.787,5.08,-0.240384615,b
1941,537130.935,5228933.899,5.03,-0.253588517,b
1942,537130.396,5228931.749,5.65,-0.253731343,b
1943,537130.43,5228931.86,5.6,-0.256038647,b
1944,537130.464,5228931.972,5.59,-0.242718447,b
1945,537130.498,5228932.083,5.59,-0.268292683,b
1946,537130.533,5228932.194,5.58,-0.256038647,b
1947,537130.567,5228932.306,5.55,-0.259615385,b
1948,537130.601,5228932.417,5.52,-0.25,b
1949,537130.635,5228932.528,5.46,-0.252427184,b
1950,537130.67,5228932.64,5.4,-0.252427184,b
1951,537130.704,5228932.751,5.36,-0.251184834,b
1952,537130.738,5228932.862,5.33,-0.253588517,b
1953,537130.772,5228932.974,5.31,-0.260663507,b
1954,537130.807,5228933.085,5.29,-0.242718447,b
1955,537130.841,5228933.196,5.26,-0.257142857,b
1956,537130.875,5228933.308,5.22,-0.25,b
1957,537130.909,5228933.419,5.17,-0.254716981,b
1958,537130.721,5228933.599,5.14,-0.252427184,b
1959,537130.755,5228933.71,5.08,-0.256038647,b
1960,537130.79,5228933.822,5.05,-0.262135922,b
1961,537130.824,5228933.933,5.03,-0.246376812,b
1962,537130.284,5228931.783,5.71,-0.256281407,b
1963,537130.319,5228931.895,5.66,-0.256038647,b
1964,537130.353,5228932.006,5.62,-0.258536585,b
1965,537130.387,5228932.117,5.61,-0.252427184,b
1966,537130.421,5228932.229,5.59,-0.25,b
1967,537130.456,5228932.34,5.56,-0.262135922,b
1968,537130.49,5228932.451,5.52,-0.253588517,b
1969,537130.524,5228932.563,5.46,-0.256038647,b
1970,537130.558,5228932.674,5.41,-0.256038647,b
1971,537130.593,5228932.785,5.37,-0.256038647,b
1972,537130.627,5228932.897,5.35,-0.265700483,b
1973,537130.661,5228933.008,5.32,-0.272727273,b
1974,537130.695,5228933.119,5.29,-0.259615385,b
1975,537130.73,5228933.231,5.25,-0.256038647,b
1976,537130.764,5228933.342,5.2,-0.259615385,b
1977,537130.798,5228933.453,5.16,-0.244019139,b
1978,537130.61,5228933.633,5.16,-0.253588517,b
1979,537130.644,5228933.745,5.11,-0.262135922,b
1980,537130.678,5228933.856,5.07,-0.25,b
1981,537130.712,5228933.967,5.04,-0.246376812,b
1982,537132.648,5228931.543,5.45,-0.253588517,b
1983,537132.683,5228931.655,5.41,-0.244019139,b
1984,537132.717,5228931.766,5.38,-0.253588517,b
1985,537130.173,5228931.817,5.7,-0.236714976,b
1986,537132.751,5228931.878,5.34,-0.253588517,b
1987,537130.207,5228931.929,5.65,-0.256038647,b
1988,537130.241,5228932.04,5.62,-0.258536585,b
1989,537130.276,5228932.151,5.6,-0.246376812,b
1990,537130.31,5228932.263,5.59,-0.262135922,b
1991,537130.344,5228932.374,5.57,-0.256038647,b
1992,537130.378,5228932.486,5.54,-0.263157895,b
1993,537130.413,5228932.597,5.49,-0.257142857,b
1994,537130.447,5228932.708,5.42,-0.25,b
1995,537130.481,5228932.82,5.37,-0.242718447,b
1996,537130.516,5228932.931,5.34,-0.251184834,b
1997,537130.55,5228933.042,5.31,-0.257142857,b
1998,537130.584,5228933.154,5.28,-0.246511628,b
1999,537130.618,5228933.265,5.24,-0.256038647,b
2000,537130.653,5228933.376,5.18,-0.245283019,b
2001,537130.498,5228933.668,5.19,-0.253588517,b
2002,537130.687,5228933.488,5.11,-0.253588517,b
2003,537130.533,5228933.779,5.13,-0.262135922,b
2004,537130.567,5228933.89,5.08,-0.274509804,b
2005,537130.601,5228934.002,5.04,-0.25,b
2006,537132.537,5228931.578,5.48,-0.265700483,b
2007,537132.571,5228931.689,5.44,-0.246376812,b
2008,537130.027,5228931.74,5.74,-0.254901961,b
2009,537132.605,5228931.8,5.38,-0.25,b
2010,537130.062,5228931.852,5.7,-0.25,b
2011,537132.64,5228931.912,5.34,-0.259615385,b
2012,537130.096,5228931.963,5.66,-0.243781095,b
2013,537132.674,5228932.023,5.31,-0.253588517,b
2014,537130.13,5228932.074,5.63,-0.245283019,b
2015,537132.708,5228932.134,5.29,-0.248780488,b
2016,537130.164,5228932.186,5.6,-0.258536585,b
2017,537132.742,5228932.246,5.27,-0.251231527,b
2018,537130.199,5228932.297,5.58,-0.253588517,b
2019,537132.777,5228932.357,5.25,-0.263157895,b
2020,537130.233,5228932.408,5.56,-0.256038647,b
2021,537132.811,5228932.469,5.22,-0.258536585,b
2022,537130.267,5228932.52,5.54,-0.253588517,b
2023,537130.301,5228932.631,5.5,-0.265700483,b
2024,537130.336,5228932.742,5.44,-0.253588517,b
2025,537130.37,5228932.854,5.39,-0.246376812,b
2026,537130.404,5228932.965,5.34,-0.259615385,b
2027,537130.438,5228933.077,5.31,-0.246376812,b
2028,537130.473,5228933.188,5.29,-0.248780488,b
2029,537130.507,5228933.299,5.26,-0.262135922,b
2030,537130.541,5228933.411,5.22,-0.256038647,b
2031,537130.575,5228933.522,5.18,-0.260663507,b
2032,537132.391,5228931.501,5.54,-0.256038647,b
2033,537132.426,5228931.612,5.49,-0.248780488,b
2034,537132.46,5228931.723,5.43,-0.245098039,b
2035,537129.916,5228931.775,5.76,-0.247524752,b
2036,537132.494,5228931.835,5.38,-0.252427184,b
2037,537129.95,5228931.886,5.72,-0.251231527,b
2038,537132.528,5228931.946,5.35,-0.268292683,b
2039,537129.985,5228931.997,5.67,-0.248780488,b
2040,537132.563,5228932.057,5.33,-0.253588517,b
2041,537130.019,5228932.109,5.63,-0.275362319,b
2042,537132.597,5228932.169,5.31,-0.253588517,b
2043,537130.053,5228932.22,5.61,-0.25,b
2044,537132.631,5228932.28,5.28,-0.25,b
2045,537130.087,5228932.331,5.59,-0.252427184,b
2046,537132.665,5228932.391,5.25,-0.256038647,b
2047,537130.122,5228932.443,5.56,-0.262135922,b
2048,537132.7,5228932.503,5.21,-0.248780488,b
2049,537130.156,5228932.554,5.53,-0.252427184,b
2050,537132.734,5228932.614,5.17,-0.254716981,b
2051,537130.19,5228932.665,5.49,-0.23902439,b
2052,537132.768,5228932.725,5.12,-0.266666667,b
2053,537130.224,5228932.777,5.44,-0.247619048,b
2054,537132.802,5228932.837,5.07,-0.257142857,b
2055,537130.259,5228932.888,5.39,-0.259615385,b
2056,537130.293,5228932.999,5.35,-0.247619048,b
2057,537130.327,5228933.111,5.33,-0.256038647,b
2058,537130.361,5228933.222,5.31,-0.251184834,b
2059,537130.396,5228933.333,5.29,-0.262135922,b
2060,537130.43,5228933.445,5.27,-0.269230769,b
2061,537130.464,5228933.556,5.23,-0.246376812,b
2062,537132.28,5228931.535,5.54,-0.269230769,b
2063,537132.314,5228931.646,5.5,-0.252427184,b
2064,537132.349,5228931.758,5.45,-0.263157895,b
2065,537132.383,5228931.869,5.39,-0.253588517,b
2066,537132.417,5228931.98,5.35,-0.251184834,b
2067,537132.451,5228932.092,5.32,-0.263157895,b
2068,537132.486,5228932.203,5.3,-0.253588517,b
2069,537132.52,5228932.314,5.28,-0.252427184,b
2070,537132.554,5228932.426,5.25,-0.252427184,b
2071,537132.588,5228932.537,5.22,-0.259615385,b
2072,537132.623,5228932.648,5.16,-0.257142857,b
2073,537132.657,5228932.76,5.1,-0.251184834,b
2074,537132.691,5228932.871,5.06,-0.257142857,b
2075,537132.837,5228932.948,5,-0.25,b
2076,537132.871,5228933.06,4.97,-0.251184834,b
2077,537132.905,5228933.171,4.94,-0.252427184,b
2078,537132.725,5228932.982,5,-0.25,b
2079,537132.76,5228933.094,4.97,-0.252427184,b
2080,537132.794,5228933.205,4.94,-0.258536585,b
2081,537132.828,5228933.316,4.91,-0.247619048,b
2082,537132.862,5228933.428,4.88,-0.259615385,b
2083,537132.897,5228933.539,4.85,-0.256038647,b
2084,537132.931,5228933.651,4.82,-0.256038647,b
2085,537132.965,5228933.762,4.78,-0.256038647,b
2086,537129.805,5228931.809,5.76,-0.265700483,b
2087,537129.839,5228931.92,5.73,-0.243781095,b
2088,537129.873,5228932.032,5.68,-0.251231527,b
2089,537129.907,5228932.143,5.64,-0.25,b
2090,537129.942,5228932.254,5.61,-0.252427184,b
2091,537129.976,5228932.366,5.58,-0.263157895,b
2092,537130.01,5228932.477,5.55,-0.262135922,b
2093,537130.044,5228932.588,5.51,-0.25,b
2094,537130.079,5228932.7,5.47,-0.259615385,b
2095,537130.113,5228932.811,5.44,-0.253588517,b
2096,537130.147,5228932.922,5.41,-0.25,b
2097,537130.181,5228933.034,5.37,-0.256038647,b
2098,537130.216,5228933.145,5.33,-0.263157895,b
2099,537130.25,5228933.256,5.3,-0.242718447,b
2100,537130.284,5228933.368,5.28,-0.253588517,b
2101,537130.318,5228933.479,5.25,-0.246376812,b
2102,537130.353,5228933.59,5.22,-0.252427184,b
2103,537129.693,5228931.843,5.75,-0.252427184,b
2104,537129.728,5228931.954,5.72,-0.233830846,b
2105,537129.762,5228932.066,5.67,-0.267326733,b
2106,537129.796,5228932.177,5.63,-0.246376812,b
2107,537129.83,5228932.288,5.6,-0.256038647,b
2108,537129.865,5228932.4,5.57,-0.257142857,b
