"V1" "V2" "V3"
"1362" 14 6 0
"1363" 14 7 0
"1364" 14 8 0
"1365" 14 9 0
"1366" 14 10 0
"1367" 14 11 0
"1368" 14 12 0
"1369" 14 13 0
"1370" 14 14 0
"1371" 14 15 0
"1372" 14 16 0
"1373" 14 17 0
"1374" 14 18 0
"1375" 14 19 0
"1376" 14 20 0
"1377" 14 21 0
"1378" 14 22 0
"1379" 14 23 0
"1380" 14 24 0
"1381" 14 25 0
"1382" 14 26 0
"1383" 14 27 0
"1384" 14 28 0
"1385" 14 29 0
"1386" 14 30 0
"1387" 14 31 0
"1388" 14 32 0
"1389" 14 33 0
"1390" 14 34 0
"1391" 14 35 0
"1392" 14 36 0
"1393" 14 37 0
"1394" 14 38 0
"1395" 14 39 0
"1396" 14 40 0
"1397" 14 41 0
"1398" 14 42 0
"1399" 14 43 0
"1400" 14 44 0
"1401" 14 45 0
"1402" 14 46 0
"1403" 14 47 0
"1404" 14 48 0
"1405" 14 49 0
"1406" 14 50 0
"1407" 14 51 0
"1408" 14 52 0
"1409" 14 53 0
"1410" 14 54 0
"1411" 14 55 0
"1412" 14 56 0
"1413" 14 57 0
"1414" 14 58 0
"1415" 14 59 0
"1416" 14 60 0
"1417" 14 61 0
"1418" 14 62 0
"1419" 14 63 0
"1420" 14 64 0
"1421" 14 65 0
"1422" 14 66 0
"1423" 14 67 0
"1424" 14 68 0
"1425" 14 69 0
"1426" 14 70 0
"1427" 14 71 0
"1428" 14 72 0
"1429" 14 73 0
"1430" 14 74 0
"1431" 14 86 0
"1432" 14 87 0
"1433" 15 1 0
"1434" 15 2 0
"1435" 15 3 0
"1436" 15 4 0
"1437" 15 5 0
"1438" 15 6 0
"1439" 15 7 0
"1440" 15 8 0
"1441" 15 9 0
"1442" 15 10 0
"1443" 15 11 0
"1444" 15 12 0
"1445" 15 13 0
"1446" 15 14 0
"1447" 15 15 0
"1448" 15 16 0
"1449" 15 17 0
"1450" 15 18 0
"1451" 15 19 0
"1452" 15 20 0
"1453" 15 21 0
"1454" 15 22 0
"1455" 15 23 0
"1456" 15 24 0
"1457" 15 25 0
"1458" 15 26 0
"1459" 15 27 0
"1460" 15 28 0
"1461" 15 29 0
"1462" 15 30 0
"1463" 15 31 0
"1464" 15 32 0
"1465" 15 33 0
"1466" 15 34 0
"1467" 15 35 0
"1468" 15 36 0
"1469" 15 37 0
"1470" 15 38 0
"1471" 15 39 0
"1472" 15 40 0
"1473" 15 41 0
"1474" 15 42 0
"1475" 15 43 0
"1476" 15 44 0
"1477" 15 45 0
"1478" 15 46 0
"1479" 15 47 0
"1480" 15 48 0
"1481" 15 49 0
"1482" 15 50 0
"1483" 15 51 0
"1484" 15 52 0
"1485" 15 53 0
"1486" 15 54 0
"1487" 15 55 0
"1488" 15 56 0
"1489" 15 57 0
"1490" 15 58 0
"1491" 15 59 0
"1492" 15 60 0
"1493" 15 61 0
"1494" 15 62 0
"1495" 15 63 0
"1496" 15 64 0
"1497" 15 65 0
"1498" 15 66 0
"1499" 15 67 0
"1500" 15 68 0
"1501" 15 69 0
"1502" 15 70 0
"1503" 15 71 0
"1504" 15 72 0
"1505" 15 73 0
"1506" 15 85 0
"1507" 15 86 0
"1508" 15 87 0
"1509" 16 1 0
"1510" 16 2 0
"1511" 16 3 0
"1512" 16 4 0
"1513" 16 5 0
"1514" 16 6 0
"1515" 16 7 0
"1516" 16 8 0
"1517" 16 9 0
"1518" 16 10 0
"1519" 16 11 0
"1520" 16 12 0
"1521" 16 13 0
"1522" 16 14 0
"1523" 16 15 0
"1524" 16 16 0
"1525" 16 17 0
"1526" 16 18 0
"1527" 16 19 0
"1528" 16 20 0
"1529" 16 21 0
"1530" 16 22 0
"1531" 16 23 0
"1532" 16 24 0
"1533" 16 25 0
"1534" 16 26 0
"1535" 16 27 0
"1536" 16 28 0
"1537" 16 29 0
"1538" 16 30 0
"1539" 16 31 0
"1540" 16 32 0
"1541" 16 33 0
"1542" 16 34 0
"1543" 16 35 0
"1544" 16 36 0
"1545" 16 37 0
"1546" 16 38 0
"1547" 16 39 0
"1548" 16 40 0
"1549" 16 41 0
"1550" 16 42 0
"1551" 16 43 0
"1552" 16 44 0
"1553" 16 45 0
"1554" 16 46 0
"1555" 16 47 0
"1556" 16 48 0
"1557" 16 49 0
"1558" 16 50 0
"1559" 16 51 0
"1560" 16 52 0
"1561" 16 53 0
"1562" 16 54 0
"1563" 16 55 0
"1564" 16 56 0
"1565" 16 57 0
"1566" 16 58 0
"1567" 16 59 0
"1568" 16 60 0
"1569" 16 61 0
"1570" 16 62 0
"1571" 16 63 0
"1572" 16 64 0
"1573" 16 65 0
"1574" 16 66 0
"1575" 16 67 0
"1576" 16 68 0
"1577" 16 69 0
"1578" 16 70 0
"1579" 16 71 0
"1580" 16 83 0
"1581" 16 84 0
"1582" 16 85 0
"1583" 16 86 0
"1584" 16 87 0
"1585" 17 1 0
"1586" 17 2 0
"1587" 17 3 0
"1588" 17 4 0
"1589" 17 5 0
"1590" 17 6 0
"1591" 17 7 0
"1592" 17 8 0
"1593" 17 9 0
"1594" 17 10 0
"1595" 17 11 0
"1596" 17 12 0
"1597" 17 13 0
"1598" 17 14 0
"1599" 17 15 0
"1600" 17 16 0
"1601" 17 17 0
"1602" 17 18 0
"1603" 17 19 0
"1604" 17 20 0
"1605" 17 21 0
"1606" 17 22 0
"1607" 17 23 0
"1608" 17 24 0
"1609" 17 25 0
"1610" 17 26 0
"1611" 17 27 0
"1612" 17 28 0
"1613" 17 29 0
"1614" 17 30 0
"1615" 17 31 0
"1616" 17 32 0
"1617" 17 33 0
"1618" 17 34 0
"1619" 17 35 0
"1620" 17 36 0
"1621" 17 37 0
"1622" 17 38 0
"1623" 17 39 0
"1624" 17 40 0
"1625" 17 41 0
"1626" 17 42 0
"1627" 17 43 0
"1628" 17 44 0
"1629" 17 45 0
"1630" 17 46 0
"1631" 17 47 0
"1632" 17 48 0
"1633" 17 49 0
"1634" 17 50 0
"1635" 17 51 0
"1636" 17 52 0
"1637" 17 53 0
"1638" 17 54 0
"1639" 17 55 0
"1640" 17 56 0
"1641" 17 57 0
"1642" 17 58 0
"1643" 17 59 0
"1644" 17 60 0
"1645" 17 61 0
"1646" 17 62 0
"1647" 17 63 0
"1648" 17 64 0
"1649" 17 65 0
"1650" 17 66 0
"1651" 17 67 0
"1652" 17 68 0
"1653" 17 80 0
"1654" 17 81 0
"1655" 17 82 0
"1656" 17 83 0
"1657" 17 84 0
"1658" 17 85 0
"1659" 17 86 0
"1660" 17 87 0
"1661" 18 1 0
"1662" 18 2 0
"1663" 18 3 0
"1664" 18 4 0
"1665" 18 5 0
"1666" 18 6 0
"1667" 18 7 0
"1668" 18 8 0
"1669" 18 9 0
"1670" 18 10 0
"1671" 18 11 0
"1672" 18 12 0
"1673" 18 13 0
"1674" 18 14 0
"1675" 18 15 0
"1676" 18 16 0
"1677" 18 17 0
"1678" 18 18 0
"1679" 18 19 0
"1680" 18 20 0
"1681" 18 21 0
"1682" 18 22 0
"1683" 18 23 0
"1684" 18 24 0
"1685" 18 25 0
"1686" 18 26 0
"1687" 18 27 0
"1688" 18 28 0
"1689" 18 29 0
"1690" 18 30 0
"1691" 18 31 0
"1692" 18 32 0
"1693" 18 33 0
"1694" 18 34 0
"1695" 18 35 0
"1696" 18 36 0
"1697" 18 37 0
"1698" 18 38 0
"1699" 18 39 0
"1700" 18 40 0
"1701" 18 41 0
"1702" 18 42 0
"1703" 18 43 0
"1704" 18 44 0
"1705" 18 45 0
"1706" 18 46 0
"1707" 18 47 0
"1708" 18 48 0
"1709" 18 49 0
"1710" 18 50 0
"1711" 18 51 0
"1712" 18 52 0
"1713" 18 53 0
"1714" 18 54 0
"1715" 18 55 0
"1716" 18 56 0
"1717" 18 57 0
"1718" 18 58 0
"1719" 18 59 0
"1720" 18 60 0
"1721" 18 61 0
"1722" 18 62 0
"1723" 18 63 0
"1724" 18 64 0
"1725" 18 65 0
"1726" 18 66 0
"1727" 18 77 0
"1728" 18 78 0
"1729" 18 79 0
"1730" 18 80 0
"1731" 18 81 0
"1732" 18 82 0
"1733" 18 83 0
"1734" 18 84 0
"1735" 18 85 0
"1736" 18 86 0
"1737" 18 87 0
"1738" 19 1 0
"1739" 19 2 0
"1740" 19 3 0
"1741" 19 4 0
"1742" 19 5 0
"1743" 19 6 0
"1744" 19 7 0
"1745" 19 8 0
"1746" 19 9 0
"1747" 19 10 0
"1748" 19 11 0
"1749" 19 12 0
"1750" 19 13 0
"1751" 19 14 0
"1752" 19 15 0
"1753" 19 16 0
"1754" 19 17 0
"1755" 19 18 0
"1756" 19 19 0
"1757" 19 20 0
"1758" 19 21 0
"1759" 19 22 0
"1760" 19 23 0
"1761" 19 24 0
"1762" 19 25 0
"1763" 19 26 0
"1764" 19 27 0
"1765" 19 28 0
"1766" 19 29 0
"1767" 19 30 0
"1768" 19 31 0
"1769" 19 32 0
"1770" 19 33 0
"1771" 19 34 0
"1772" 19 35 0
"1773" 19 36 0
"1774" 19 37 0
"1775" 19 38 0
"1776" 19 39 0
"1777" 19 40 0
"1778" 19 41 0
"1779" 19 42 0
"1780" 19 43 0
"1781" 19 44 0
"1782" 19 45 0
"1783" 19 46 0
"1784" 19 47 0
"1785" 19 48 0
"1786" 19 49 0
"1787" 19 50 0
"1788" 19 51 0
"1789" 19 52 0
"1790" 19 53 0
"1791" 19 54 0
"1792" 19 55 0
"1793" 19 56 0
"1794" 19 57 0
"1795" 19 58 0
"1796" 19 59 0
"1797" 19 60 0
"1798" 19 61 0
"1799" 19 62 0
"1800" 19 73 0
"1801" 19 74 0
"1802" 19 75 0
"1803" 19 76 0
"1804" 19 77 0
"1805" 19 78 0
"1806" 19 79 0
"1807" 19 80 0
"1808" 19 81 0
"1809" 19 82 0
"1810" 19 83 0
"1811" 19 84 0
"1812" 19 85 0
"1813" 19 86 0
"1814" 19 87 0
"1815" 20 1 0
"1816" 20 2 0
"1817" 20 3 0
"1818" 20 4 0
"1819" 20 5 0
"1820" 20 6 0
"1821" 20 7 0
"1822" 20 8 0
"1823" 20 9 0
"1824" 20 10 0
"1825" 20 11 0
"1826" 20 12 0
"1827" 20 13 0
"1828" 20 14 0
"1829" 20 15 0
"1830" 20 16 0
"1831" 20 17 0
"1832" 20 18 0
"1833" 20 19 0
"1834" 20 20 0
"1835" 20 21 0
"1836" 20 22 0
"1837" 20 23 0
"1838" 20 24 0
"1839" 20 25 0
"1840" 20 26 0
"1841" 20 27 0
"1842" 20 28 0
"1843" 20 29 0
"1844" 20 30 0
"1845" 20 31 0
"1846" 20 32 0
"1847" 20 33 0
"1848" 20 34 0
"1849" 20 35 0
"1850" 20 36 0
"1851" 20 37 0
"1852" 20 38 0
"1853" 20 39 0
"1854" 20 40 0
"1855" 20 41 0
"1856" 20 42 0
"1857" 20 43 0
"1858" 20 44 0
"1859" 20 45 0
"1860" 20 46 0
"1861" 20 47 0
"1862" 20 48 0
"1863" 20 49 0
"1864" 20 50 0
"1865" 20 51 0
"1866" 20 52 0
"1867" 20 53 0
"1868" 20 54 0
"1869" 20 55 0
"1870" 20 56 0
"1871" 20 57 0
"1872" 20 58 0
"1873" 20 68 0
"1874" 20 69 0
"1875" 20 70 0
"1876" 20 71 0
"1877" 20 72 0
"1878" 20 73 0
"1879" 20 74 0
"1880" 20 75 0
"1881" 20 76 0
"1882" 20 77 0
"1883" 20 78 0
"1884" 20 79 0
"1885" 20 80 0
"1886" 20 81 0
"1887" 20 82 0
"1888" 20 83 0
"1889" 20 84 0
"1890" 20 85 0
"1891" 20 86 0
"1892" 20 87 0
"1893" 21 1 0
"1894" 21 2 0
"1895" 21 3 0
"1896" 21 4 0
"1897" 21 5 0
"1898" 21 6 0
"1899" 21 7 0
"1900" 21 8 0
"1901" 21 9 0
"1902" 21 10 0
"1903" 21 11 0
"1904" 21 12 0
"1905" 21 13 0
"1906" 21 14 0
"1907" 21 15 0
"1908" 21 16 0
"1909" 21 17 0
"1910" 21 18 0
"1911" 21 19 0
"1912" 21 20 0
"1913" 21 21 0
"1914" 21 22 0
"1915" 21 23 0
"1916" 21 24 0
"1917" 21 25 0
"1918" 21 26 0
"1919" 21 27 0
"1920" 21 28 0
"1921" 21 29 0
"1922" 21 30 0
"1923" 21 31 0
"1924" 21 32 0
"1925" 21 33 0
"1926" 21 34 0
"1927" 21 35 0
"1928" 21 36 0
"1929" 21 37 0
"1930" 21 38 0
"1931" 21 39 0
"1932" 21 40 0
"1933" 21 41 0
"1934" 21 42 0
"1935" 21 43 0
"1936" 21 44 0
"1937" 21 45 0
"1938" 21 46 0
"1939" 21 47 0
"1940" 21 48 0
"1941" 21 49 0
"1942" 21 50 0
"1943" 21 51 0
"1944" 21 52 0
"1945" 21 53 0
"1946" 21 54 0
"1947" 21 63 0
"1948" 21 64 0
"1949" 21 65 0
"1950" 21 66 0
"1951" 21 67 0
"1952" 21 68 0
"1953" 21 69 0
"1954" 21 70 0
"1955" 21 71 0
"1956" 21 72 0
"1957" 21 73 0
"1958" 21 74 0
"1959" 21 75 0
"1960" 21 76 0
"1961" 21 77 0
"1962" 21 78 0
"1963" 21 79 0
"1964" 21 80 0
"1965" 21 81 0
"1966" 21 82 0
"1967" 21 83 0
"1968" 21 84 0
"1969" 21 85 0
"1970" 21 86 0
"1971" 21 87 0
"1972" 22 1 0
"1973" 22 2 0
"1974" 22 3 0
"1975" 22 4 0
"1976" 22 5 0
"1977" 22 6 0
"1978" 22 7 0
"1979" 22 8 0
"1980" 22 9 0
"1981" 22 10 0
"1982" 22 11 0
"1983" 22 12 0
"1984" 22 13 0
"1985" 22 14 0
"1986" 22 15 0
"1987" 22 16 0
"1988" 22 17 0
"1989" 22 18 0
"1990" 22 19 0
"1991" 22 20 0
"1992" 22 21 0
"1993" 22 22 0
"1994" 22 23 0
"1995" 22 24 0
"1996" 22 25 0
"1997" 22 26 0
"1998" 22 27 0
"1999" 22 28 0
"2000" 22 29 0
"2001" 22 30 0
"2002" 22 31 0
"2003" 22 32 0
"2004" 22 33 0
"2005" 22 34 0
"2006" 22 35 0
"2007" 22 36 0
"2008" 22 37 0
"2009" 22 38 0
"2010" 22 39 0
"2011" 22 40 0
"2012" 22 41 0
"2013" 22 42 0
"2014" 22 43 0
"2015" 22 44 0
"2016" 22 45 0
"2017" 22 46 0
"2018" 22 47 0
"2019" 22 48 0
"2020" 22 49 0
"2021" 22 58 0
"2022" 22 59 0
"2023" 22 60 0
"2024" 22 61 0
"2025" 22 62 0
"2026" 22 63 0
"2027" 22 64 0
"2028" 22 65 0
"2029" 22 66 0
"2030" 22 67 0
"2031" 22 68 0
"2032" 22 69 0
"2033" 22 70 0
"2034" 22 71 0
"2035" 22 72 0
"2036" 22 73 0
"2037" 22 74 0
"2038" 22 75 0
"2039" 22 76 0
"2040" 22 77 0
"2041" 22 78 0
"2042" 22 79 0
"2043" 22 80 0
"2044" 22 81 0
"2045" 22 82 0
"2046" 22 83 0
"2047" 22 84 0
"2048" 22 85 0
"2049" 22 86 0
"2050" 22 87 0
"2051" 23 1 0
"2052" 23 2 0
"2053" 23 3 0
"2054" 23 4 0
"2055" 23 5 0
"2056" 23 6 0
"2057" 23 7 0
"2058" 23 8 0
"2059" 23 9 0
"2060" 23 10 0
"2061" 23 11 0
"2062" 23 12 0
"2063" 23 13 0
"2064" 23 14 0
"2065" 23 15 0
"2066" 23 16 0
"2067" 23 17 0
"2068" 23 18 0
"2069" 23 19 0
"2070" 23 20 0
"2071" 23 21 0
"2072" 23 22 0
"2073" 23 23 0
"2074" 23 24 0
"2075" 23 25 0
"2076" 23 26 0
"2077" 23 27 0
"2078" 23 28 0
"2079" 23 29 0
"2080" 23 30 0
"2081" 23 31 0
"2082" 23 32 0
"2083" 23 33 0
"2084" 23 34 0
"2085" 23 35 0
"2086" 23 36 0
"2087" 23 37 0
"2088" 23 38 0
"2089" 23 39 0
"2090" 23 40 0
"2091" 23 41 0
"2092" 23 42 0
"2093" 23 43 0
"2094" 23 53 0
"2095" 23 54 0
"2096" 23 55 0
"2097" 23 56 0
"2098" 23 57 0
"2099" 23 58 0
"2100" 23 59 0
"2101" 23 60 0
"2102" 23 61 0
"2103" 23 62 0
"2104" 23 63 0
"2105" 23 64 0
"2106" 23 65 0
"2107" 23 66 0
"2108" 23 67 0
"2109" 23 68 0
"2110" 23 69 0
"2111" 23 70 0
"2112" 23 71 0
"2113" 23 72 0
"2114" 23 73 0
"2115" 23 74 0
"2116" 23 75 0
"2117" 23 76 0
"2118" 23 77 0
"2119" 23 78 0
"2120" 23 79 0
"2121" 23 80 0
"2122" 23 81 0
"2123" 23 82 0
"2124" 23 83 0
"2125" 23 84 0
"2126" 23 85 0
"2127" 23 86 0
"2128" 23 87 0
"2129" 24 1 0
"2130" 24 2 0
"2131" 24 3 0
"2132" 24 4 0
"2133" 24 5 0
"2134" 24 6 0
"2135" 24 7 0
"2136" 24 8 0
"2137" 24 9 0
"2138" 24 10 0
"2139" 24 11 0
"2140" 24 12 0
"2141" 24 13 0
"2142" 24 14 0
"2143" 24 15 0
"2144" 24 16 0
"2145" 24 17 0
"2146" 24 18 0
"2147" 24 19 0
"2148" 24 20 0
"2149" 24 21 0
"2150" 24 22 0
"2151" 24 23 0
"2152" 24 24 0
"2153" 24 25 0
"2154" 24 26 0
"2155" 24 27 0
"2156" 24 28 0
"2157" 24 29 0
"2158" 24 30 0
"2159" 24 31 0
"2160" 24 32 0
"2161" 24 33 0
"2162" 24 34 0
"2163" 24 35 0
"2164" 24 36 0
"2165" 24 37 0
"2166" 24 47 0
"2167" 24 48 0
"2168" 24 49 0
"2169" 24 50 0
"2170" 24 51 0
"2171" 24 52 0
"2172" 24 53 0
"2173" 24 54 0
"2174" 24 55 0
"2175" 24 56 0
"2176" 24 57 0
"2177" 24 58 0
"2178" 24 59 0
"2179" 24 60 0
"2180" 24 61 0
"2181" 24 62 0
"2182" 24 63 0
"2183" 24 64 0
"2184" 24 65 0
"2185" 24 66 0
"2186" 24 67 0
"2187" 24 68 0
"2188" 24 69 0
"2189" 24 70 0
"2190" 24 71 0
"2191" 24 72 0
"2192" 24 73 0
"2193" 24 74 0
"2194" 24 75 0
"2195" 24 76 0
"2196" 24 77 0
"2197" 24 78 0
"2198" 24 79 0
"2199" 24 80 0
"2200" 24 81 0
"2201" 24 82 0
"2202" 24 83 0
"2203" 24 84 0
"2204" 24 85 0
"2205" 24 86 0
"2206" 24 87 0
"2207" 25 1 0
"2208" 25 2 0
"2209" 25 3 0
"2210" 25 4 0
"2211" 25 5 0
"2212" 25 6 0
"2213" 25 7 0
"2214" 25 8 0
"2215" 25 9 0
"2216" 25 10 0
"2217" 25 11 0
"2218" 25 12 0
"2219" 25 13 0
"2220" 25 14 0
"2221" 25 15 0
"2222" 25 16 0
"2223" 25 17 0
"2224" 25 18 0
"2225" 25 19 0
"2226" 25 20 0
"2227" 25 21 0
"2228" 25 22 0
"2229" 25 23 0
"2230" 25 24 0
"2231" 25 25 0
"2232" 25 26 0
"2233" 25 27 0
"2234" 25 28 0
"2235" 25 29 0
"2236" 25 30 0
"2237" 25 41 0
"2238" 25 42 0
"2239" 25 43 0
"2240" 25 44 0
"2241" 25 45 0
"2242" 25 46 0
"2243" 25 47 0
"2244" 25 48 0
"2245" 25 49 0
"2246" 25 50 0
"2247" 25 51 0
"2248" 25 52 0
"2249" 25 53 0
"2250" 25 54 0
"2251" 25 55 0
"2252" 25 56 0
"2253" 25 57 0
"2254" 25 58 0
"2255" 25 59 0
"2256" 25 60 0
"2257" 25 61 0
"2258" 25 62 0
"2259" 25 63 0
"2260" 25 64 0
"2261" 25 65 0
"2262" 25 66 0
"2263" 25 67 0
"2264" 25 68 0
"2265" 25 69 0
"2266" 25 70 0
"2267" 25 71 0
"2268" 25 72 0
"2269" 25 73 0
"2270" 25 74 0
"2271" 25 75 0
"2272" 25 76 0
"2273" 25 77 0
"2274" 25 78 0
"2275" 25 79 0
"2276" 25 80 0
"2277" 25 81 0
"2278" 25 82 0
"2279" 25 83 0
"2280" 25 84 0
"2281" 25 85 0
"2282" 25 86 0
"2283" 25 87 0
"2284" 26 1 0
"2285" 26 2 0
"2286" 26 3 0
"2287" 26 4 0
"2288" 26 5 0
"2289" 26 6 0
"2290" 26 7 0
"2291" 26 8 0
"2292" 26 9 0
"2293" 26 10 0
"2294" 26 11 0
"2295" 26 12 0
"2296" 26 13 0
"2297" 26 14 0
"2298" 26 15 0
"2299" 26 16 0
"2300" 26 17 0
"2301" 26 18 0
"2302" 26 19 0
"2303" 26 20 0
"2304" 26 21 0
"2305" 26 22 0
"2306" 26 23 0
"2307" 26 24 0
"2308" 26 34 0
"2309" 26 35 0
"2310" 26 36 0
"2311" 26 37 0
"2312" 26 38 0
"2313" 26 39 0
"2314" 26 40 0
"2315" 26 41 0
"2316" 26 42 0
"2317" 26 43 0
"2318" 26 44 0
"2319" 26 45 0
"2320" 26 46 0
"2321" 26 47 0
"2322" 26 48 0
"2323" 26 49 0
"2324" 26 50 0
"2325" 26 51 0
"2326" 26 52 0
"2327" 26 53 0
"2328" 26 54 0
"2329" 26 55 0
"2330" 26 56 0
"2331" 26 57 0
"2332" 26 58 0
"2333" 26 59 0
"2334" 26 60 0
"2335" 26 61 0
"2336" 26 62 0
"2337" 26 63 0
"2338" 26 64 0
"2339" 26 65 0
"2340" 26 66 0
"2341" 26 67 0
"2342" 26 68 0
"2343" 26 69 0
"2344" 26 70 0
"2345" 26 71 0
"2346" 26 72 0
"2347" 26 73 0
"2348" 26 74 0
"2349" 26 75 0
"2350" 26 76 0
"2351" 26 77 0
"2352" 26 78 0
"2353" 26 79 0
"2354" 26 80 0
"2355" 26 81 0
"2356" 26 82 0
"2357" 26 83 0
"2358" 26 84 0
"2359" 26 85 0
"2360" 26 86 0
"2361" 26 87 0
"2362" 27 1 0
"2363" 27 2 0
"2364" 27 3 0
"2365" 27 4 0
"2366" 27 5 0
"2367" 27 6 0
"2368" 27 7 0
"2369" 27 8 0
"2370" 27 9 0
"2371" 27 10 0
"2372" 27 11 0
"2373" 27 12 0
"2374" 27 13 0
"2375" 27 14 0
"2376" 27 15 0
"2377" 27 16 0
"2378" 27 17 0
"2379" 27 28 0
"2380" 27 29 0
"2381" 27 30 0
"2382" 27 31 0
"2383" 27 32 0
"2384" 27 33 0
"2385" 27 34 0
"2386" 27 35 0
"2387" 27 36 0
"2388" 27 37 0
"2389" 27 38 0
"2390" 27 39 0
"2391" 27 40 0
"2392" 27 41 0
"2393" 27 42 0
"2394" 27 43 0
"2395" 27 44 0
"2396" 27 45 0
"2397" 27 46 0
"2398" 27 47 0
"2399" 27 48 0
"2400" 27 49 0
"2401" 27 50 0
"2402" 27 51 0
"2403" 27 52 0
"2404" 27 53 0
"2405" 27 54 0
"2406" 27 55 0
"2407" 27 56 0
"2408" 27 57 0
"2409" 27 58 0
"2410" 27 59 0
"2411" 27 60 0
"2412" 27 61 0
"2413" 27 62 0
"2414" 27 63 0
"2415" 27 64 0
"2416" 27 65 0
"2417" 27 66 0
"2418" 27 67 0
"2419" 27 68 0
"2420" 27 69 0
"2421" 27 70 0
"2422" 27 71 0
"2423" 27 72 0
"2424" 27 73 0
"2425" 27 74 0
"2426" 27 75 0
"2427" 27 76 0
"2428" 27 77 0
"2429" 27 78 0
"2430" 27 79 0
"2431" 27 80 0
"2432" 27 81 0
"2433" 27 82 0
"2434" 27 83 0
"2435" 27 84 0
"2436" 27 85 0
"2437" 27 86 0
"2438" 27 87 0
"2439" 28 1 0
"2440" 28 2 0
"2441" 28 3 0
"2442" 28 4 0
"2443" 28 5 0
"2444" 28 6 0
"2445" 28 7 0
"2446" 28 8 0
"2447" 28 9 0
"2448" 28 10 0
"2449" 28 21 0
"2450" 28 22 0
"2451" 28 23 0
"2452" 28 24 0
"2453" 28 25 0
"2454" 28 26 0
"2455" 28 27 0
"2456" 28 28 0
"2457" 28 29 0
"2458" 28 30 0
"2459" 28 31 0
"2460" 28 32 0
"2461" 28 33 0
"2462" 28 34 0
"2463" 28 35 0
"2464" 28 36 0
"2465" 28 37 0
"2466" 28 38 0
"2467" 28 39 0
"2468" 28 40 0
"2469" 28 41 0
"2470" 28 42 0
"2471" 28 43 0
"2472" 28 44 0
"2473" 28 45 0
"2474" 28 46 0
"2475" 28 47 0
"2476" 28 48 0
"2477" 28 49 0
"2478" 28 50 0
"2479" 28 51 0
"2480" 28 52 0
"2481" 28 53 0
"2482" 28 54 0
"2483" 28 55 0
"2484" 28 56 0
"2485" 28 57 0
"2486" 28 58 0
"2487" 28 59 0
"2488" 28 60 0
"2489" 28 61 0
"2490" 28 62 0
"2491" 28 63 0
"2492" 28 64 0
"2493" 28 65 0
"2494" 28 66 0
"2495" 28 67 0
"2496" 28 68 0
"2497" 28 69 0
"2498" 28 70 0
"2499" 28 71 0
"2500" 28 72 0
"2501" 28 73 0
"2502" 28 74 0
"2503" 28 75 0
"2504" 28 76 0
"2505" 28 77 0
"2506" 28 78 0
"2507" 28 79 0
"2508" 28 80 0
"2509" 28 81 0
"2510" 28 82 0
"2511" 28 83 0
"2512" 28 84 0
"2513" 28 85 0
"2514" 28 86 0
"2515" 28 87 0
"2516" 29 1 0
"2517" 29 2 0
"2518" 29 3 0
"2519" 29 14 0
"2520" 29 15 0
"2521" 29 16 0
"2522" 29 17 0
"2523" 29 18 0
"2524" 29 19 0
"2525" 29 20 0
"2526" 29 21 0
"2527" 29 22 0
"2528" 29 23 0
"2529" 29 24 0
"2530" 29 25 0
"2531" 29 26 0
"2532" 29 27 0
"2533" 29 28 0
"2534" 29 29 0
"2535" 29 30 0
"2536" 29 31 0
"2537" 29 32 0
"2538" 29 33 0
"2539" 29 34 0
"2540" 29 35 0
"2541" 29 36 0
"2542" 29 37 0
"2543" 29 38 0
"2544" 29 39 0
"2545" 29 40 0
"2546" 29 41 0
"2547" 29 42 0
"2548" 29 43 0
"2549" 29 44 0
"2550" 29 45 0
"2551" 29 46 0
"2552" 29 47 0
"2553" 29 48 0
"2554" 29 49 0
"2555" 29 50 0
"2556" 29 51 0
"2557" 29 52 0
"2558" 29 53 0
"2559" 29 54 0
"2560" 29 55 0
"2561" 29 56 0
"2562" 29 57 0
"2563" 29 58 0
"2564" 29 59 0
"2565" 29 60 0
"2566" 29 61 0
"2567" 29 62 0
"2568" 29 63 0
"2569" 29 64 0
"2570" 29 65 0
"2571" 29 66 0
"2572" 29 67 0
"2573" 29 68 0
"2574" 29 69 0
"2575" 29 70 0
"2576" 29 71 0
"2577" 29 72 0
"2578" 29 73 0
"2579" 29 74 0
"2580" 29 75 0
"2581" 29 76 0
"2582" 29 77 0
"2583" 29 78 0
"2584" 29 79 0
"2585" 29 80 0
"2586" 29 81 0
"2587" 29 82 0
"2588" 29 83 0
"2589" 29 84 0
"2590" 29 85 0
"2591" 29 86 0
"2592" 29 87 0
"2593" 30 7 0
"2594" 30 8 0
"2595" 30 9 0
"2596" 30 10 0
"2597" 30 11 0
"2598" 30 12 0
"2599" 30 13 0
"2600" 30 14 0
"2601" 30 15 0
"2602" 30 16 0
"2603" 30 17 0
"2604" 30 18 0
"2605" 30 19 0
"2606" 30 20 0
"2607" 30 21 0
"2608" 30 22 0
"2609" 30 23 0
"2610" 30 24 0
"2611" 30 25 0
"2612" 30 26 0
"2613" 30 27 0
"2614" 30 28 0
"2615" 30 29 0
"2616" 30 30 0
"2617" 30 31 0
"2618" 30 32 0
"2619" 30 33 0
"2620" 30 34 0
"2621" 30 35 0
"2622" 30 36 0
"2623" 30 37 0
"2624" 30 38 0
"2625" 30 39 0
"2626" 30 40 0
"2627" 30 41 0
"2628" 30 42 0
"2629" 30 43 0
"2630" 30 44 0
"2631" 30 45 0
"2632" 30 46 0
