"idx" "x_dat" "y_dat"
"319" 319 246 330
"320" 320 246 331
"321" 321 246 332
"322" 322 246 333
"323" 323 246 334
"324" 324 246 335
"325" 325 246 336
"326" 326 246 337
"327" 327 246 338
"328" 328 246 339
"329" 329 247 324
"330" 330 247 325
"331" 331 247 326
"332" 332 247 327
"333" 333 247 328
"334" 334 247 329
"335" 335 247 330
"336" 336 247 331
